"Place","State","Latitude","Longitude","TotalPopulation","MalePopulation","FemalePopulation","MedianAge","AgricultureForestryandFishing","Mining","Manufacturing","ElectricityGasWaterWasteService","Construction","Wholesale","Retail","AccomodationFoodServices","TransportWarehousing","ITMediaTelecommunications","FinancialInsurance","RentalHiringRealEstate","ProfessionalScientificTechnical","AdministrativeSupport","PublicAdministration","EducationTraining","HealthCareSocial","ArtsRecreation","Other","MainEmployingIndustry","URL","bestImage"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2012/02/15/3431087.htm","http://www.abc.net.au/reslib/201202/r894464_9018642.jpg"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/02/13/3429316.htm","http://www.abc.net.au/reslib/201202/r893494_8997952.JPG"
"Bundaberg","QLD",-24.8683,152.3459,92063,45573,46490,42.8,9.4,2.3,8.6,1.1,8.1,3,12.8,6.4,3.8,0.8,1.7,1.4,3.4,2.8,5,8,14.6,0.7,3.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/02/09/3426842.htm","http://www.abc.net.au/reslib/201202/r891372_8952870.JPG"
"Cottesloe","WA",-31.9971,115.7573,8236,4061,4175,40.5,0.9,6.5,4.3,0.5,6,2.7,7.9,5.7,2,1.7,4.3,3.4,16.8,2.9,4.3,9.4,15.3,1.5,1.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2012/02/10/3427992.htm","http://www.abc.net.au/reslib/201202/r892626_8981799.JPG"
"Albury","NSW",-36.0765,146.9227,49451,24130,25321,37.3,1,0.2,12.6,0.8,8.6,3.3,12.6,7.9,4.2,1.3,2.1,1.3,4.5,2.8,7.5,8.7,13.7,1,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/02/09/3426770.htm","http://www.abc.net.au/reslib/201202/r889893_8921598.jpg"
"Fremantle","WA",-32.0531,115.745,28651,14111,14540,41.1,0.5,4.5,7.1,1,7.8,2.9,8.3,6.5,3.9,1.4,1.8,1.6,10.4,2.9,6.2,11.9,14,2.2,2.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/02/08/3426014.htm","http://www.abc.net.au/reslib/201202/r891321_8951422.jpg"
"Alice Springs","NT",-23.6989,133.8829,28489,14898,13591,33.4,0.4,0.6,2.9,1.4,8,2.1,9.5,6.3,4.5,1.5,0.9,1.7,7.1,2.8,17.3,9.9,15.1,2.9,3.6,"Public Administration & Safety","http://www.abc.net.au/local/photos/2012/02/08/3426074.htm","http://www.abc.net.au/reslib/201202/r891345_8951971.jpg"
"Sydney","NSW",-33.8631,151.2043,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2012/02/06/3423856.htm","http://www.abc.net.au/reslib/201202/r889837_8920140.jpg"
"Coolgardie","WA",-30.9549,121.1645,4138,2229,1909,31.3,0.4,44.8,5.6,0.4,5.9,0.7,6.3,4.1,4.5,0.2,0.3,0.8,2.1,2.2,4.7,6,3.9,0.3,3,"Mining","http://www.abc.net.au/local/photos/2012/02/06/3424242.htm","http://www.abc.net.au/reslib/201202/r890149_8926842.JPG"
"Gunnedah","NSW",-30.9822,150.2572,12519,6328,6191,39.6,16.9,7.5,7,1.3,5.2,2.7,9.8,6.8,4.8,0.6,1.3,1.2,3.2,2.1,5,7.7,9.4,0.7,4.3,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2012/02/04/3423144.htm","http://www.abc.net.au/reslib/201202/r888114_8884280.JPG"
"Newcastle","NSW",-32.9298,151.7828,155550,77444,78106,37.1,0.3,1.6,9.2,1.6,6.6,2.9,10.4,7.8,4.1,1.2,3.4,1.5,7.4,3,6.9,9.5,16,1.4,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/02/03/3422721.htm","http://www.abc.net.au/reslib/201202/r889098_8904614.jpg"
"Townsville","QLD",-19.2643,146.8118,180114,90460,89654,33.2,0.5,2.9,7.6,1.6,9.9,3,10.7,6.9,5.1,1.4,1.6,1.6,4.7,3,11.9,8.1,12.5,1.3,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/02/02/3421820.htm","http://www.abc.net.au/reslib/201202/r888607_8895007.jpg"
"Hobart","TAS",-42.8847,147.3303,50482,25111,25371,37.9,1.3,0.3,3.7,1.9,4.1,1.8,9.6,9.3,1.8,2.6,2.9,1.6,9.9,2,13.7,12.7,13.8,2.8,3.1,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/01/13/3407463.htm","http://www.abc.net.au/reslib/201201/r880046_8696407.jpg"
"Hobart","TAS",-42.8847,147.3303,50482,25111,25371,37.9,1.3,0.3,3.7,1.9,4.1,1.8,9.6,9.3,1.8,2.6,2.9,1.6,9.9,2,13.7,12.7,13.8,2.8,3.1,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/02/02/3421296.htm","http://www.abc.net.au/reslib/201202/r888190_8885675.jpg"
"Port Lincoln","SA",-34.7282,135.8733,14462,7131,7331,38.3,8.9,1.4,7.4,1.4,9.3,4.1,13.1,6.6,5.1,0.7,2.2,1.3,3.2,3,5.2,8,12.3,0.7,4.2,"Retail Trade","http://www.abc.net.au/local/photos/2012/01/30/3418662.htm","http://www.abc.net.au/reslib/201201/r886535_8849284.jpg"
"Brighton","SA",-35.0167,138.5167,15685,7702,7983,32.9,1.3,0.4,9.7,2.5,9.6,3.8,14.1,6.2,5.7,1.5,1.9,1.7,2.8,3.6,8.9,5.8,11.4,1.8,4.8,"Retail Trade","http://www.abc.net.au/local/photos/2012/01/27/3416789.htm","http://www.abc.net.au/reslib/201201/r885559_8825778.jpg"
"Bellingen","NSW",-30.4541,152.898,12923,6312,6611,46.2,7.6,0.4,6.9,0.9,8.5,2.4,10.6,8.7,3.1,0.9,1.3,1.2,4.8,3.2,5.5,11.4,15.1,1.7,3.2,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/01/25/3415460.htm","http://www.abc.net.au/reslib/201201/r884779_8806482.jpg"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/01/27/3416919.htm","http://www.abc.net.au/reslib/201201/r885608_8827303.jpg"
"Sydney","NSW",-33.8631,151.2043,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2012/01/26/3416495.htm","http://www.abc.net.au/reslib/201201/r885416_8822548.jpg"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2012/01/24/3414775.htm","http://www.abc.net.au/reslib/201201/r883956_8786842.jpg"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/01/23/3413750.htm","http://www.abc.net.au/reslib/201201/r884080_8789890.jpg"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2012/01/18/3410728.htm","http://www.abc.net.au/reslib/201201/r881933_8742510.jpg"
"Parkes","NSW",-33.1388,148.1747,15083,7486,7597,39.1,11.3,7.2,5.5,1.1,5.9,2.9,11.6,7.4,6.7,0.6,1.2,0.8,3.2,2.1,6.9,7.3,11.3,0.6,4.5,"Retail Trade","http://www.abc.net.au/local/photos/2012/01/16/3408862.htm","http://www.abc.net.au/reslib/201201/r880868_8717803.jpg"
"Hobart","TAS",-42.8847,147.3303,50482,25111,25371,37.9,1.3,0.3,3.7,1.9,4.1,1.8,9.6,9.3,1.8,2.6,2.9,1.6,9.9,2,13.7,12.7,13.8,2.8,3.1,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/01/16/3408787.htm","http://www.abc.net.au/reslib/201201/r880867_8717764.jpg"
"Port Hedland","WA",-20.3135,118.6093,15659,8823,6836,31,0.3,25,5.4,1,15.4,2,6.1,4.5,7.2,0.2,0.7,2.7,2.5,3.6,4.3,5.8,7.3,0.4,3.2,"Mining","http://www.abc.net.au/local/photos/2012/01/12/3407021.htm","http://www.abc.net.au/news/linkableblob/3769718/data/hedland-backyard-damage-psjpg-data.jpg"
"Darwin","NT",-12.4668,130.8433,78467,40814,37653,34,0.6,1.6,3.6,1.4,8.1,2.4,8.3,7,5.2,1.4,1.8,1.9,6.5,3.2,20.6,8.5,10.7,2.3,3.4,"Public Administration & Safety","http://www.abc.net.au/local/photos/2012/01/13/3407763.htm","http://www.abc.net.au/reslib/201201/r880195_8700581.JPG"
"Warrnambool","VIC",-38.3866,142.5053,32667,16050,16617,37.8,2.3,0.4,10.3,1.4,8.8,3.8,13.7,8.8,3.6,1.2,2.2,1.3,3.9,2.7,4.9,9.2,14.9,1.5,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/01/11/3406050.htm","http://www.abc.net.au/reslib/201201/r879235_8678087.jpg"
"Darwin","NT",-12.4668,130.8433,78467,40814,37653,34,0.6,1.6,3.6,1.4,8.1,2.4,8.3,7,5.2,1.4,1.8,1.9,6.5,3.2,20.6,8.5,10.7,2.3,3.4,"Public Administration & Safety","http://www.abc.net.au/local/photos/2012/01/11/3405851.htm","http://www.abc.net.au/reslib/201201/r879122_8675522.JPG"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/01/11/3405788.htm","http://www.abc.net.au/reslib/201201/r878980_8671780.jpg"
"Toowoomba","QLD",-27.5622,151.9528,155473,76067,79406,37.2,6.3,1.8,9.3,1.1,7.9,3.7,10.9,5.7,4.7,1,2.8,1.3,4.3,2.2,6.7,9.9,13.6,0.9,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/01/10/3405457.htm","http://www.abc.net.au/reslib/201201/r878862_8669101.jpg"
"Bunbury","WA",-33.3267,115.6347,32580,16065,16515,38.6,0.8,3.3,12.4,1.8,14.4,2.4,12.3,6.9,4.1,1.2,1.6,1.6,4.5,2.8,4.8,7.4,10.8,0.8,4.1,"Construction","http://www.abc.net.au/local/photos/2012/01/09/3404728.htm","http://www.abc.net.au/reslib/201201/r878442_8659483.JPG"
"Winton","QLD",-22.3826,143.0414,1380,734,646,43.4,30.7,1.5,1,1.3,7,2,8.7,6.5,5.4,0,0.6,0.4,0.9,1.6,13.6,5.6,7.5,0.9,1.9,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2012/01/05/3402629.htm","http://www.abc.net.au/reslib/201201/r877228_8630310.jpg"
"Townsville","QLD",-19.2643,146.8118,180114,90460,89654,33.2,0.5,2.9,7.6,1.6,9.9,3,10.7,6.9,5.1,1.4,1.6,1.6,4.7,3,11.9,8.1,12.5,1.3,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2012/01/05/3402520.htm","http://www.abc.net.au/reslib/201201/r877168_8629128.jpg"
"Adelaide","SA",-34.9295,138.5982,20920,10863,10057,30.6,0.6,1.3,4.6,1.1,3.5,2.3,8.7,11.7,2,3,3.4,1.7,12.7,3.1,7.8,10.2,15.1,2.6,2.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/05/11/3213910.htm","http://www.abc.net.au/reslib/201104/r757775_6342174.jpg"
"Hobart","TAS",-42.8847,147.3303,50482,25111,25371,37.9,1.3,0.3,3.7,1.9,4.1,1.8,9.6,9.3,1.8,2.6,2.9,1.6,9.9,2,13.7,12.7,13.8,2.8,3.1,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/06/08/3238711.htm","http://www.abc.net.au/reslib/201106/r780649_6716745.jpg"
"Sydney","NSW",-33.8631,151.2043,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2011/08/24/3300775.htm","http://www.abc.net.au/reslib/201108/r821131_7441669.JPG"
"Singleton","NSW",-32.569,151.1649,23523,12191,11332,35,3.9,24.6,7,2.3,6.2,3,8.1,6.6,3.1,0.5,1.2,1.6,3.6,3.5,5.3,5.1,6.4,0.5,5.2,"Mining","http://www.abc.net.au/local/photos/2011/01/17/3114821.htm","http://www.abc.net.au/reslib/201101/r703584_5426231.jpg"
"Sorell","TAS",-42.7831,147.5613,13346,6702,6644,40.3,3.7,0.5,8.5,2.1,11,3.4,11.4,6.1,5.5,1.2,2.3,1.4,4,2.7,10.6,6.6,11.6,1.5,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/11/08/3359482.htm","http://www.abc.net.au/reslib/201111/r851855_8065400.JPG"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/10/12/3337965.htm","http://www.abc.net.au/reslib/201110/r839788_7825726.JPG"
"Perth","WA",-31.9234,115.8834,18315,10153,8162,32.1,0.3,9.9,4.4,1.2,7.5,2.5,5.5,9.7,2.6,1.4,4.1,2,19.4,4.4,5.6,4.9,8.6,1.5,2.4,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2011/12/15/3391844.htm","http://www.abc.net.au/reslib/201112/r869800_8451013.jpg"
"Cairns","QLD",-16.9245,145.7652,162178,81293,80885,36,1.5,1.4,5.1,1.1,8.7,3,11.8,10.7,6.8,0.9,1.7,2,4.9,3.8,8,7.8,12.4,1.8,4.1,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/03/10/3160808.htm","http://www.abc.net.au/reslib/201103/r732038_5909024.jpg"
"Roxby Downs","SA",-30.5573,136.8922,4826,2859,1967,29.8,0.1,49.4,3.3,0.8,9.3,2.9,4.2,6.4,1.5,0.3,0.7,1.3,1.7,6.2,1,4.2,2.3,0.7,1.8,"Mining","http://www.abc.net.au/local/photos/2011/12/23/3397486.htm","http://www.abc.net.au/reslib/201112/r874206_8559522.jpg"
"Newcastle","NSW",-32.9298,151.7828,155550,77444,78106,37.1,0.3,1.6,9.2,1.6,6.6,2.9,10.4,7.8,4.1,1.2,3.4,1.5,7.4,3,6.9,9.5,16,1.4,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/23/3397207.htm","http://www.abc.net.au/reslib/201112/r873987_8553645.JPG"
"Alice Springs","NT",-23.6989,133.8829,28489,14898,13591,33.4,0.4,0.6,2.9,1.4,8,2.1,9.5,6.3,4.5,1.5,0.9,1.7,7.1,2.8,17.3,9.9,15.1,2.9,3.6,"Public Administration & Safety","http://www.abc.net.au/local/photos/2011/09/28/3327616.htm","http://www.abc.net.au/reslib/201112/r873760_8548182.jpg"
"Warrnambool","VIC",-38.3866,142.5053,32667,16050,16617,37.8,2.3,0.4,10.3,1.4,8.8,3.8,13.7,8.8,3.6,1.2,2.2,1.3,3.9,2.7,4.9,9.2,14.9,1.5,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/22/3396493.htm","http://www.abc.net.au/reslib/201112/r873634_8544725.jpg"
"Warrnambool","VIC",-38.3866,142.5053,32667,16050,16617,37.8,2.3,0.4,10.3,1.4,8.8,3.8,13.7,8.8,3.6,1.2,2.2,1.3,3.9,2.7,4.9,9.2,14.9,1.5,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/07/3396191.htm","http://www.abc.net.au/reslib/201112/r871920_8505148.JPG"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2011/12/21/3395771.htm","http://www.abc.net.au/reslib/201112/r872747_8525735.jpg"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/20/3394924.htm","http://www.abc.net.au/reslib/201112/r871370_8491590.jpg"
"Bunbury","WA",-33.3267,115.6347,32580,16065,16515,38.6,0.8,3.3,12.4,1.8,14.4,2.4,12.3,6.9,4.1,1.2,1.6,1.6,4.5,2.8,4.8,7.4,10.8,0.8,4.1,"Construction","http://www.abc.net.au/local/photos/2011/12/20/3394897.htm","http://www.abc.net.au/reslib/201112/r872594_8521995.jpg"
"Fremantle","WA",-32.0531,115.745,28651,14111,14540,41.1,0.5,4.5,7.1,1,7.8,2.9,8.3,6.5,3.9,1.4,1.8,1.6,10.4,2.9,6.2,11.9,14,2.2,2.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/16/3392947.htm","http://www.abc.net.au/reslib/201112/r871276_8489736.jpg"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/16/3393040.htm","http://www.abc.net.au/reslib/201112/r871383_8491747.jpg"
"Hobart","TAS",-42.8847,147.3303,50482,25111,25371,37.9,1.3,0.3,3.7,1.9,4.1,1.8,9.6,9.3,1.8,2.6,2.9,1.6,9.9,2,13.7,12.7,13.8,2.8,3.1,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/16/3392115.htm","http://www.abc.net.au/reslib/201112/r871341_8491058.jpg"
"Warrnambool","VIC",-38.3866,142.5053,32667,16050,16617,37.8,2.3,0.4,10.3,1.4,8.8,3.8,13.7,8.8,3.6,1.2,2.2,1.3,3.9,2.7,4.9,9.2,14.9,1.5,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/15/3391443.htm","http://www.abc.net.au/reslib/201112/r870013_8456195.jpg"
"Gympie","QLD",-26.1907,152.6571,46837,23395,23442,42.9,8.8,2.1,11.5,1,9.1,3.1,12,6.8,4.6,0.7,1.3,1.4,3.3,2.7,5.4,7.8,11.1,0.8,4.2,"Retail Trade","http://www.abc.net.au/local/photos/2011/11/11/3362642.htm","http://www.abc.net.au/reslib/201111/r851096_8048807.JPG"
"Bunbury","WA",-33.3267,115.6347,32580,16065,16515,38.6,0.8,3.3,12.4,1.8,14.4,2.4,12.3,6.9,4.1,1.2,1.6,1.6,4.5,2.8,4.8,7.4,10.8,0.8,4.1,"Construction","http://www.abc.net.au/local/photos/2011/12/11/3388534.htm","http://www.abc.net.au/reslib/201111/r862695_8289809.JPG"
"Rockhampton","QLD",-23.3782,150.5106,112333,56561,55772,37,2.3,5.3,7.6,2.6,8.8,3.5,10.9,7.2,6.2,0.8,1.7,1.5,3.8,2.4,6.6,9,12.8,0.8,4.2,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/13/3389903.htm","http://www.abc.net.au/reslib/201112/r869505_8443764.jpg"
"Darwin","NT",-12.4668,130.8433,78467,40814,37653,34,0.6,1.6,3.6,1.4,8.1,2.4,8.3,7,5.2,1.4,1.8,1.9,6.5,3.2,20.6,8.5,10.7,2.3,3.4,"Public Administration & Safety","http://www.abc.net.au/local/photos/2011/11/29/3379369.htm","http://www.abc.net.au/reslib/201112/r866190_8369120.JPG"
"Ballarat","VIC",-37.5675,143.8509,95185,46401,48784,36.8,1.5,0.7,10.7,1,8.7,2.5,12.7,7.4,3.5,2,2,1.1,5.6,2.5,6,9.8,15.3,1.8,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/03/30/3178001.htm","http://www.abc.net.au/reslib/201103/r742940_6095314.jpg"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/09/3387775.htm","http://www.abc.net.au/reslib/201112/r868063_8410050.jpg"
"Fairfield","QLD",-27.5167,153.0333,196479,97495,98984,35.6,0.5,0.1,17.8,0.8,8.6,5.5,11.6,6.2,6.7,1.7,4.6,1.2,4.6,3.4,4,4.2,8.6,1,4.5,"Manufacturing","http://www.abc.net.au/local/photos/2011/12/08/3386211.htm","http://www.abc.net.au/reslib/201112/r867098_8389168.jpg"
"Manjimup","WA",-34.2424,116.1441,9463,4721,4742,41.5,17.7,2.5,8.9,0.7,6.5,2.9,10.2,8.6,4,0.4,1.2,0.9,2.6,2.5,7.8,8,8.1,0.5,3.6,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2011/12/08/3386874.htm","http://www.abc.net.au/reslib/201112/r867567_8398544.jpg"
"Bundaberg","QLD",-24.8683,152.3459,92063,45573,46490,42.8,9.4,2.3,8.6,1.1,8.1,3,12.8,6.4,3.8,0.8,1.7,1.4,3.4,2.8,5,8,14.6,0.7,3.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/07/3385842.htm","http://www.abc.net.au/reslib/201112/r865753_8358529.jpg"
"Ballarat","VIC",-37.5675,143.8509,95185,46401,48784,36.8,1.5,0.7,10.7,1,8.7,2.5,12.7,7.4,3.5,2,2,1.1,5.6,2.5,6,9.8,15.3,1.8,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/02/3382319.htm","http://www.abc.net.au/reslib/201112/r866313_8371261.jpg"
"Launceston","TAS",-41.447,147.1386,67154,33135,34019,37.7,1.7,0.6,9.4,1.3,7.1,3.9,12.4,8.4,4.5,1.5,3.3,1.3,4.3,2.9,6.8,10.2,13,1.6,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/05/3384216.htm","http://www.abc.net.au/reslib/201112/r865745_8358354.JPG"
"Mount Isa","QLD",-20.7287,139.4897,22079,11792,10287,30.3,1.2,31.4,4.6,1.3,5.7,2.6,8.1,5.1,3.8,0.6,0.8,1.4,2.2,2.9,6,6.9,9.3,0.3,3.6,"Mining","http://www.abc.net.au/local/photos/2011/11/30/3380474.htm","http://www.abc.net.au/reslib/201111/r863205_8301609.jpg"
"Mount Isa","QLD",-20.7287,139.4897,22079,11792,10287,30.3,1.2,31.4,4.6,1.3,5.7,2.6,8.1,5.1,3.8,0.6,0.8,1.4,2.2,2.9,6,6.9,9.3,0.3,3.6,"Mining","http://www.abc.net.au/local/photos/2011/12/02/3382405.htm","http://www.abc.net.au/reslib/201112/r864615_8334207.jpg"
"Alice Springs","NT",-23.6989,133.8829,28489,14898,13591,33.4,0.4,0.6,2.9,1.4,8,2.1,9.5,6.3,4.5,1.5,0.9,1.7,7.1,2.8,17.3,9.9,15.1,2.9,3.6,"Public Administration & Safety","http://www.abc.net.au/local/photos/2011/12/05/3383979.htm","http://www.abc.net.au/reslib/201112/r865718_8357530.jpg"
"Alice Springs","NT",-23.6989,133.8829,28489,14898,13591,33.4,0.4,0.6,2.9,1.4,8,2.1,9.5,6.3,4.5,1.5,0.9,1.7,7.1,2.8,17.3,9.9,15.1,2.9,3.6,"Public Administration & Safety","http://www.abc.net.au/local/photos/2011/12/05/3384018.htm","http://www.abc.net.au/reslib/201112/r865807_8360250.jpg"
"Mount Isa","QLD",-20.7287,139.4897,22079,11792,10287,30.3,1.2,31.4,4.6,1.3,5.7,2.6,8.1,5.1,3.8,0.6,0.8,1.4,2.2,2.9,6,6.9,9.3,0.3,3.6,"Mining","http://www.abc.net.au/local/photos/2011/11/28/3378481.htm","http://www.abc.net.au/reslib/201111/r861908_8274985.jpg"
"Warrnambool","VIC",-38.3866,142.5053,32667,16050,16617,37.8,2.3,0.4,10.3,1.4,8.8,3.8,13.7,8.8,3.6,1.2,2.2,1.3,3.9,2.7,4.9,9.2,14.9,1.5,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/05/3383769.htm","http://www.abc.net.au/reslib/201112/r865561_8354102.jpg"
"Hobart","TAS",-42.8847,147.3303,50482,25111,25371,37.9,1.3,0.3,3.7,1.9,4.1,1.8,9.6,9.3,1.8,2.6,2.9,1.6,9.9,2,13.7,12.7,13.8,2.8,3.1,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/02/3382431.htm","http://www.abc.net.au/reslib/201112/r864573_8332835.jpg"
"Hobart","TAS",-42.8847,147.3303,50482,25111,25371,37.9,1.3,0.3,3.7,1.9,4.1,1.8,9.6,9.3,1.8,2.6,2.9,1.6,9.9,2,13.7,12.7,13.8,2.8,3.1,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/03/3382949.htm","http://www.abc.net.au/reslib/201112/r865032_8343391.jpg"
"Warrnambool","VIC",-38.3866,142.5053,32667,16050,16617,37.8,2.3,0.4,10.3,1.4,8.8,3.8,13.7,8.8,3.6,1.2,2.2,1.3,3.9,2.7,4.9,9.2,14.9,1.5,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/02/3382377.htm","http://www.abc.net.au/reslib/201112/r864576_8332916.jpg"
"Darwin","NT",-12.4668,130.8433,78467,40814,37653,34,0.6,1.6,3.6,1.4,8.1,2.4,8.3,7,5.2,1.4,1.8,1.9,6.5,3.2,20.6,8.5,10.7,2.3,3.4,"Public Administration & Safety","http://www.abc.net.au/local/photos/2011/12/02/3382186.htm","http://www.abc.net.au/reslib/201112/r864397_8328434.jpg"
"Newcastle","NSW",-32.918544,151.79316,155550,77444,78106,37.1,0.3,1.6,9.2,1.6,6.6,2.9,10.4,7.8,4.1,1.2,3.4,1.5,7.4,3,6.9,9.5,16,1.4,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/11/29/3379001.htm","http://www.abc.net.au/reslib/201112/r863606_8312100.jpg"
"Albury","NSW",-36.0765,146.9227,49451,24130,25321,37.3,1,0.2,12.6,0.8,8.6,3.3,12.6,7.9,4.2,1.3,2.1,1.3,4.5,2.8,7.5,8.7,13.7,1,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2011/12/01/3381141.htm","http://www.abc.net.au/reslib/201111/r863049_8297475.JPG"
