"Place","State","Latitude","Longitude","TotalPopulation","MalePopulation","FemalePopulation","MedianAge","AgricultureForestryandFishing","Mining","Manufacturing","ElectricityGasWaterWasteService","Construction","Wholesale","Retail","AccomodationFoodServices","TransportWarehousing","ITMediaTelecommunications","FinancialInsurance","RentalHiringRealEstate","ProfessionalScientificTechnical","AdministrativeSupport","PublicAdministration","EducationTraining","HealthCareSocial","ArtsRecreation","Other","MainEmployingIndustry","URL","bestImage"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2014/12/09/4145158.htm","http://www.abc.net.au/reslib/201412/r1366547_19244384.jpg"
"Bundaberg","QLD",-24.8683,152.3459,92063,45573,46490,42.8,9.4,2.3,8.6,1.1,8.1,3,12.8,6.4,3.8,0.8,1.7,1.4,3.4,2.8,5,8,14.6,0.7,3.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/03/4141222.htm","http://www.abc.net.au/reslib/201412/r1364014_19192170.jpg"
"Townsville","QLD",-19.2643,146.8118,180114,90460,89654,33.2,0.5,2.9,7.6,1.6,9.9,3,10.7,6.9,5.1,1.4,1.6,1.6,4.7,3,11.9,8.1,12.5,1.3,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/09/4145186.htm","http://www.abc.net.au/reslib/201412/r1366569_19244907.jpg"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2014/12/08/4144543.htm","http://www.abc.net.au/reslib/201412/r1366185_19237838.JPG"
"Toowoomba","QLD",-27.5622,151.9528,155473,76067,79406,37.2,6.3,1.8,9.3,1.1,7.9,3.7,10.9,5.7,4.7,1,2.8,1.3,4.3,2.2,6.7,9.9,13.6,0.9,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/09/4145111.htm","http://www.abc.net.au/reslib/201412/r1366564_19244806.jpg"
"Broome","WA",-17.957,122.2395,15737,7962,7775,32.2,2.7,3.1,3,1.3,9.5,1.5,9.8,9.7,7.4,1.5,0.9,2,2.9,3.2,8.8,10.3,12.6,1.3,5.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/08/4144355.htm","http://www.abc.net.au/reslib/201412/r1366027_19235095.jpg"
"Broken Hill","NSW",-31.958038,141.465138,19151,9401,9750,43.1,1.2,10.4,3.2,2.6,5.7,2.1,13.2,9.7,3.8,1,1.5,0.7,2.4,3.1,7.7,8.3,16.2,0.9,3.8,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/03/4141534.htm","http://www.abc.net.au/reslib/201412/r1364202_19196451.jpg"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2014/12/08/4144152.htm","http://www.abc.net.au/reslib/201412/r1365935_19231722.JPG"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2014/12/05/4143026.htm","http://www.abc.net.au/reslib/201412/r1365157_19216093.jpg"
"Rockhampton","QLD",-23.3782,150.5106,112333,56561,55772,37,2.3,5.3,7.6,2.6,8.8,3.5,10.9,7.2,6.2,0.8,1.7,1.5,3.8,2.4,6.6,9,12.8,0.8,4.2,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/03/4141382.htm","http://www.abc.net.au/reslib/201412/r1364095_19194106.jpg"
"Wollongong","NSW",-34.4263,150.8927,202068,101108,100960,38.2,0.3,2.7,9.7,1.1,7.2,2.5,9.8,7.2,4.9,1.4,3.9,1.5,5.7,3.2,7,11.1,13.4,1.4,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/03/4141467.htm","http://www.abc.net.au/reslib/201412/r1364158_19195446.jpg"
"Bundaberg","QLD",-24.8683,152.3459,92063,45573,46490,42.8,9.4,2.3,8.6,1.1,8.1,3,12.8,6.4,3.8,0.8,1.7,1.4,3.4,2.8,5,8,14.6,0.7,3.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/04/4142634.htm","http://www.abc.net.au/reslib/201412/r1364923_19211672.JPG"
"Mansfield","VIC",-37.0535,146.0872,7942,4016,3926,45.6,9.4,1.2,4.4,0.8,11,1.9,11.9,13.1,3.6,0.9,1,2.1,4,2.8,5.3,11.2,8.9,1.1,3.3,"Accommodation & Food Services","http://www.abc.net.au/local/photos/2014/12/04/4142366.htm","http://www.abc.net.au/reslib/201412/r1364739_19207936.jpg"
"Brewarrina","NSW",-29.9622,146.8587,1874,951,923,32,24.7,0.5,1,1,3.6,1.1,4.2,3.4,1.6,0,0.5,0,0.7,1.9,14.4,17.1,16.2,0,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2014/12/03/4141104.htm","http://www.abc.net.au/reslib/201412/r1363938_19189912.jpg"
"Mansfield","VIC",-37.0535,146.0872,7942,4016,3926,45.6,9.4,1.2,4.4,0.8,11,1.9,11.9,13.1,3.6,0.9,1,2.1,4,2.8,5.3,11.2,8.9,1.1,3.3,"Accommodation & Food Services","http://www.abc.net.au/local/photos/2014/12/03/4141549.htm","http://www.abc.net.au/reslib/201412/r1364229_19197370.jpg"
"Broome","WA",-17.957,122.2395,15737,7962,7775,32.2,2.7,3.1,3,1.3,9.5,1.5,9.8,9.7,7.4,1.5,0.9,2,2.9,3.2,8.8,10.3,12.6,1.3,5.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/02/4140650.htm","http://www.abc.net.au/reslib/201412/r1363273_19176854.jpg"
"Ballarat","VIC",-37.5675,143.8509,95185,46401,48784,36.8,1.5,0.7,10.7,1,8.7,2.5,12.7,7.4,3.5,2,2,1.1,5.6,2.5,6,9.8,15.3,1.8,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/03/4141136.htm","http://www.abc.net.au/reslib/201412/r1363960_19190565.jpg"
