"","Var1","Freq"
"1396","Beardsmore",1
"1397","Beard-town",1
"1398","bears",1
"1399","Bears",1
"1400","beat",1
"1401","beatles",2
"1402","Beatles",2
"1403","Beaton",1
"1404","Beatts",1
"1405","beau",1
"1406","Beaudesert",1
"1407","Beaumont",2
"1408","beautiful",4
"1409","Beautiful",1
"1410","beauty",6
"1411","Beauty",1
"1412","Beavis",1
"1413","beazley",2
"1414","bec",3
"1415","Becchara",1
"1416","bed",1
"1417","bedford",2
"1418","bee",3
"1419","beech",1
"1420","beechworth",4
"1421","beef",8
"1422","Beef",2
"1423","beekeepers",1
"1424","beekeeping",1
"1425","Beenleigh",1
"1426","beer",14
"1427","Beer",3
"1428","beerfestabull",1
"1429","beerwah",1
"1430","bees",5
"1431","beethoven",2
"1432","beetle",2
"1433","before",1
"1434","Before",1
"1435","Bega",5
"1436","Begley",1
"1437","behind",4
"1438","beijing",1
"1439","Beijing",1
"1440","being",1
"1441","Bek",1
"1442","belacan",1
"1443","Belair",1
"1444","bel-bachir",1
"1445","belgian",1
"1446","belgium",1
"1447","Believe",1
"1448","belinda",3
"1449","Belinda",2
"1450","bell",9
"1451","Bell",3
"1452","belle",1
"1453","bellerive",2
"1454","Bellevue",1
"1455","bellgrove",1
"1456","bellingen",1
"1457","belllingen",1
"1458","bells",2
"1459","Bellur",1
"1460","belly",4
"1461","belmore",2
"1462","belongil",1
"1463","Belongil",1
"1464","Belongs'",1
"1465","belsham",1
"1466","belt",4
"1467","belts",1
"1468","Bemboka",1
"1469","ben",22
"1470","Ben",14
"1471","benalla",1
"1472","benatar",1
"1473","Bendall",1
"1474","bendigo",38
